fecha,id_producto,cantidad,precio
2025-01-17,1309,2,70
2025-01-17,633,1,38
2025-01-17,3141,1,122
2025-01-17,3144,1,122
2025-01-17,1149,1,52
2025-01-17,1774,1,65
2025-01-17,1649,1,10
2025-01-17,329,1,93
2025-01-17,448,1,61
2025-01-17,549,1,110
2025-01-17,1235,1,36
2025-01-17,650,1,86
2025-01-17,887,1,56
2025-01-17,1184,4,7
2025-01-17,815,1,117
2025-01-17,1649,1,10
2025-01-17,1028,1,23
2025-01-17,1247,1,45
2025-01-17,1310,1,100
2025-01-17,1584,1,95
2025-01-17,1807,1,70
2025-01-17,1888,1,65
2025-01-17,672,1,137
2025-01-17,1094,1,155
2025-01-17,1626,1,25
2025-01-17,1030,1,58
2025-01-17,1096,1,52
2025-01-17,1458,1,95
2025-01-17,191,1,20
2025-01-17,1566,1,95
2025-01-17,440,1,83
2025-01-17,1810,1,12
2025-01-17,671,1,15
2025-01-17,1585,1,95
2025-01-17,292,2,60
2025-01-17,1437,1,65
2025-01-17,369,1,50
2025-01-17,181,1,133
2025-01-17,1726,1,62
2025-01-17,1200,1,32
2025-01-17,1649,1,200
2025-01-17,1396,1,84
2025-01-17,1282,1,87
2025-01-17,3135,1,108
2025-01-17,569,1,48
2025-01-17,1810,1,12
2025-01-17,1307,1,334
2025-01-17,434,1,189
2025-01-17,1333,2,132
2025-01-17,1255,1,69
2025-01-17,1708,1,50
2025-01-17,81,1,64
2025-01-17,1224,1,32
2025-01-17,387,1,80
2025-01-17,1573,1,95
2025-01-17,946,1,80
2025-01-17,1349,1,45
2025-01-17,120,1,25
2025-01-17,1472,1,25
2025-01-17,1649,1,10
2025-01-17,1507,1,104
2025-01-17,1804,1,33
2025-01-17,1798,1,28
2025-01-17,255,1,76
2025-01-17,1591,1,68
2025-01-17,292,1,30
2025-01-17,1575,1,97
2025-01-24,51,1,89
2025-01-24,719,2,15
2025-01-24,238,1,102
2025-01-24,1826,1,75
2025-01-24,1255,1,70
2025-01-24,348,2,260
2025-01-24,1808,1,85
2025-01-24,299,1,85
2025-01-24,719,2,15
2025-01-24,1426,1,25
2025-01-24,805,1,50
2025-01-24,881,1,17
2025-01-24,1152,1,137
2025-01-24,1795,1,126
2025-01-24,1810,2,12
2025-01-24,663,1,49
2025-01-24,1802,1,40
2025-01-24,1248,1,5
2025-01-24,1576,1,50
2025-01-24,217,1,144
2025-01-24,1558,1,99
2025-01-24,216,2,15
2025-01-24,1713,1,112
2025-01-24,1235,1,36
2025-01-24,323,1,33
2025-01-24,3116,6,22
2025-01-24,1809,1,37
2025-01-24,3116,1,22
2025-01-24,1498,1,28
2025-01-24,1800,1,43
2025-01-24,1507,1,104
2025-01-24,1576,1,50
2025-01-24,1097,1,30
2025-01-24,1803,1,48
2025-01-24,1164,1,75
2025-01-24,1826,1,75
2025-01-24,217,1,144
2025-01-24,1795,1,126
2025-01-24,1598,1,68
2025-01-24,1826,1,75
2025-01-24,1800,2,43
2025-01-24,1826,1,75
2025-01-24,1152,1,137
2025-01-24,1248,1,5
2025-01-24,451,1,86
2025-01-24,1774,1,65
2025-01-24,1019,1,264
2025-01-24,961,1,159
2025-01-24,1152,1,137
2025-01-24,139,1,96
2025-01-24,3186,1,105
2025-01-24,1802,14,40
2025-01-24,1800,4,43
2025-01-24,1799,13,25
2025-01-24,1813,3,22
2025-01-24,296,1,35
2025-01-24,2094,1,18
2025-01-24,344,1,72
2025-01-24,1096,1,52
2025-01-24,3116,1,22
2025-01-24,1799,1,25
2025-01-24,138,1,80
2025-01-24,1810,2,12
2025-01-24,1800,1,43
2025-01-24,892,1,192
2025-01-24,1051,1,91
2025-01-24,460,2,72
2025-01-24,650,1,86
2025-01-24,1288,1,40
2025-01-24,1072,1,40
2025-01-25,1649,1,10
2025-01-25,719,1,15
2025-01-25,464,1,220
2025-01-25,1244,1,84
2025-01-25,194,1,81
2025-01-25,1091,1,59
2025-01-25,1649,1,10
2025-01-25,1531,1,50
2025-01-25,260,1,38
2025-01-25,1882,1,122
2025-01-25,887,1,56
2025-01-25,107,1,20
2025-01-25,1272,1,150
2025-01-25,1802,1,40
2025-01-25,217,1,144
2025-01-25,378,2,82
2025-01-25,1507,1,104
2025-01-25,771,1,65
2025-01-25,1585,1,95
2025-01-25,1649,1,10
2025-01-25,3186,1,105
2025-01-25,1713,1,112
2025-01-25,947,1,85
2025-01-25,3196,1,126
2025-01-23,771,1,65
2025-01-23,733,1,59
2025-01-23,218,1,245
2025-01-23,780,1,135
2025-01-23,1288,1,40
2025-01-23,1093,1,98
2025-01-23,1676,1,65
2025-01-23,1272,10,150
2025-01-23,343,1,100
2025-01-23,1810,2,12
2025-01-23,806,1,33
2025-01-23,1708,2,50
2025-01-23,1333,1,132
2025-01-23,1800,1,43
2025-01-23,719,1,15
2025-01-23,1517,1,42
2025-01-23,3206,1,49
2025-01-23,165,1,171
2025-01-23,1244,1,84
2025-01-23,1255,1,70
2025-01-23,965,1,129
2025-01-23,1286,1,28
2025-01-23,1011,1,198
2025-01-23,1673,1,300
2025-01-23,48,1,40
2025-01-23,1437,1,65
2025-01-23,1632,1,330
2025-01-23,717,1,273
2025-01-23,561,1,110
2025-01-23,1152,1,137
2025-01-23,1694,1,85
2025-01-23,1810,2,12
2025-01-23,217,1,144
2025-01-23,217,1,144
2025-01-23,338,1,84
2025-01-23,588,1,120
2025-01-23,1309,1,70
2025-01-23,780,1,135
2025-01-23,460,1,72
2025-01-23,552,1,5
2025-01-23,225,1,70
2025-01-23,238,1,102
2025-01-23,1244,1,84
2025-01-23,701,1,15
2025-01-23,1573,1,95
2025-01-23,1152,1,137
2025-01-23,974,1,82
2025-01-23,1802,1,40
2025-01-23,1649,1,10
2025-01-23,214,1,80
2025-01-23,754,1,150
2025-01-23,680,1,86
2025-01-23,1810,1,12
2025-01-23,1826,1,75
2025-01-23,1649,1,10
2025-01-23,24,1,88
2025-01-23,424,1,216
2025-01-23,241,1,45
2025-01-23,226,1,118
2025-01-23,719,1,15
2025-01-23,771,1,65
2025-01-23,1178,1,48
2025-01-23,1401,1,53
2025-01-23,1225,1,20
2025-01-23,1114,1,23
2025-01-23,1797,1,48
2025-01-23,51,1,89
2025-01-23,951,1,65
2025-01-23,193,1,117
2025-01-23,1255,1,70
2025-01-23,366,1,42
2025-01-23,1252,1,65
2025-01-23,834,1,148
2025-01-23,894,1,165
2025-01-23,1573,1,95
2025-01-23,1800,1,43
2025-01-23,28,1,40
2025-01-23,1800,1,43
2025-01-23,1798,1,28
2025-01-23,1834,1,6
2025-01-23,1649,1,10
2025-01-23,1798,1,28
2025-01-23,754,1,150
2025-01-23,552,2,5
2025-01-23,1800,1,43
2025-01-23,719,1,15
